2019-04-09 14:04:39,928 |DEBUG   | __main__     DEBUG    Started logger
2019-04-09 14:04:42,119 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Projected 42000 points to a 197 pts array, with 0 nans in : 110.91 ms
2019-04-09 14:04:42,119 |DEBUG   | gui.fastscan.mainwindow.FastScanMainWindow DEBUG    recieved processed data as <class 'xarray.core.dataarray.DataArray'>
2019-04-09 14:04:42,122 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 is ready for new stream_data
2019-04-09 14:04:42,122 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    added 1 chunks to queue
2019-04-09 14:04:42,125 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    processing data with processor 0
2019-04-09 14:04:42,126 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 started processing data with shape (3, 42000)
2019-04-09 14:04:42,205 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Projected 42000 points to a 201 pts array, with 0 nans in : 78.95 ms
2019-04-09 14:04:42,206 |DEBUG   | gui.fastscan.mainwindow.FastScanMainWindow DEBUG    recieved processed data as <class 'xarray.core.dataarray.DataArray'>
2019-04-09 14:04:42,209 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 is ready for new stream_data
2019-04-09 14:04:42,215 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulated data in 5.00 ms - real would take 153.85 - outputting array of (3, 42000)
2019-04-09 14:04:42,215 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulating measurement cycle #5
2019-04-09 14:04:42,215 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    added 1 chunks to queue
2019-04-09 14:04:42,223 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    processing data with processor 0
2019-04-09 14:04:42,224 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 started processing data with shape (3, 42000)
2019-04-09 14:04:42,304 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Projected 42000 points to a 201 pts array, with 0 nans in : 78.95 ms
2019-04-09 14:04:42,304 |DEBUG   | gui.fastscan.mainwindow.FastScanMainWindow DEBUG    recieved processed data as <class 'xarray.core.dataarray.DataArray'>
2019-04-09 14:04:42,307 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 is ready for new stream_data
2019-04-09 14:04:42,370 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulated data in 2.96 ms - real would take 153.85 - outputting array of (3, 42000)
2019-04-09 14:04:42,370 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulating measurement cycle #6
2019-04-09 14:04:42,370 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    added 1 chunks to queue
2019-04-09 14:04:42,437 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    processing data with processor 0
2019-04-09 14:04:42,438 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 started processing data with shape (3, 42000)
2019-04-09 14:04:42,499 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Projected 42000 points to a 199 pts array, with 0 nans in : 60.96 ms
2019-04-09 14:04:42,499 |DEBUG   | gui.fastscan.mainwindow.FastScanMainWindow DEBUG    recieved processed data as <class 'xarray.core.dataarray.DataArray'>
2019-04-09 14:04:42,502 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 is ready for new stream_data
2019-04-09 14:04:42,525 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulated data in 4.00 ms - real would take 153.85 - outputting array of (3, 42000)
2019-04-09 14:04:42,525 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulating measurement cycle #7
2019-04-09 14:04:42,525 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    added 1 chunks to queue
2019-04-09 14:04:42,550 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    processing data with processor 0
2019-04-09 14:04:42,551 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 started processing data with shape (3, 42000)
2019-04-09 14:04:42,614 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Projected 42000 points to a 204 pts array, with 0 nans in : 62.96 ms
2019-04-09 14:04:42,614 |DEBUG   | gui.fastscan.mainwindow.FastScanMainWindow DEBUG    recieved processed data as <class 'xarray.core.dataarray.DataArray'>
2019-04-09 14:04:42,618 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 is ready for new stream_data
2019-04-09 14:04:42,680 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulated data in 4.00 ms - real would take 153.85 - outputting array of (3, 42000)
2019-04-09 14:04:42,680 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulating measurement cycle #8
2019-04-09 14:04:42,680 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    added 1 chunks to queue
2019-04-09 14:04:42,765 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    processing data with processor 0
2019-04-09 14:04:42,767 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 started processing data with shape (3, 42000)
2019-04-09 14:04:42,835 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulated data in 3.94 ms - real would take 153.85 - outputting array of (3, 42000)
2019-04-09 14:04:42,835 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulating measurement cycle #9
2019-04-09 14:04:42,910 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Projected 42000 points to a 198 pts array, with 0 nans in : 142.91 ms
2019-04-09 14:04:42,910 |DEBUG   | gui.fastscan.mainwindow.FastScanMainWindow DEBUG    recieved processed data as <class 'xarray.core.dataarray.DataArray'>
2019-04-09 14:04:42,913 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 is ready for new stream_data
2019-04-09 14:04:42,913 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    FastScan Streamer is stopping.
2019-04-09 14:04:42,913 |INFO    | measurement.fastscan.streamer.FastScanStreamer INFO     FastScanStreamer thread stopping.
2019-04-09 14:04:42,913 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    added 1 chunks to queue
2019-04-09 14:04:42,915 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    processing data with processor 0
2019-04-09 14:04:42,917 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 started processing data with shape (3, 42000)
2019-04-09 14:04:42,991 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulated data in 2.00 ms - real would take 153.85 - outputting array of (3, 42000)
2019-04-09 14:04:43,014 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Projected 42000 points to a 201 pts array, with 0 nans in : 96.94 ms
2019-04-09 14:04:43,018 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 is ready for new stream_data
2019-04-09 14:04:43,019 |DEBUG   | gui.fastscan.mainwindow.FastScanMainWindow DEBUG    recieved processed data as <class 'xarray.core.dataarray.DataArray'>
2019-04-09 14:04:43,020 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    added 1 chunks to queue
2019-04-09 14:04:43,095 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    processing data with processor 0
2019-04-09 14:04:43,096 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 started processing data with shape (3, 42000)
2019-04-09 14:04:43,165 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Projected 42000 points to a 201 pts array, with 0 nans in : 68.96 ms
2019-04-09 14:04:43,165 |DEBUG   | gui.fastscan.mainwindow.FastScanMainWindow DEBUG    recieved processed data as <class 'xarray.core.dataarray.DataArray'>
2019-04-09 14:04:43,168 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 is ready for new stream_data
2019-04-09 14:04:44,235 |INFO    | gui.fastscan.mainwindow.FastScanMainWindow INFO     Closing window: terminating all threads.
2019-04-09 14:04:44,235 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    FastScan Streamer is stopping.
2019-04-09 14:04:44,235 |INFO    | measurement.fastscan.streamer.FastScanStreamer INFO     FastScanStreamer thread stopping.
